ratings,mean_retweet_count,mean_favorite_count
1.3,6171.883333333333,23031.155555555557
1.2,3196.6294117647058,11984.729411764705
1.4,10043.42857142857,32207.04761904762
0.5,1638.9375,5291.75
1.1,2100.5520504731862,6634.482649842272
0.6,1235.0,3612.7894736842104
1.0,1357.8513513513512,3922.7060810810813
3.4285714285714284,1588.0,5750.0
7.5,6758.0,19641.0
2.7,1796.0,7059.0
0.3,909.6363636363636,2543.3636363636365
0.8,825.077922077922,2322.038961038961
0.9,773.0877192982456,2352.8245614035086
0.4,1154.125,3296.625
0.7,1129.921052631579,3213.8947368421054
177.6,2670.0,5445.0
0.6363636363636364,18104.0,39180.0
0.2,984.6,1888.8
