tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
773308824254029826,24951,8234,Tue Sep 06 23:56:05 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/0Fcft7jl4N
773247561583001600,10110,3538,Tue Sep 06 19:52:39 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/hG5WYT9ECn
773191612633579521,10738,4526,Tue Sep 06 16:10:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/9HEVPJEioD
772877495989305348,9222,4272,Mon Sep 05 19:22:09 +0000 2016,Twitter Web Client,Original tweet,https://t.co/qEP31epKEV
772826264096874500,8563,2559,Mon Sep 05 15:58:34 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/7CQkn3gHOQ
772615324260794368,0,3707,Mon Sep 05 02:00:22 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
772581559778025472,6952,1858,Sun Sep 04 23:46:12 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/8lpAGaZRFn
772193107915964416,6448,1523,Sat Sep 03 22:02:38 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Dp0s7MRIHK
772152991789019136,4056,1234,Sat Sep 03 19:23:13 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/H9yjI9eo3A
772117678702071809,4026,804,Sat Sep 03 17:02:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/GHOfbTVQti
772114945936949249,2909,520,Sat Sep 03 16:52:02 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/CbtNfecWiT
772102971039580160,4306,1016,Sat Sep 03 16:04:27 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/B2f3XkGU5c
771908950375665664,7056,2090,Sat Sep 03 03:13:29 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/yOVzAomJ6k
771770456517009408,12889,3741,Fri Sep 02 18:03:10 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/E6bGWf9EOm
771500966810099713,8880,2884,Fri Sep 02 00:12:18 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/1tWe5zZoHv
771380798096281600,11289,5613,Thu Sep 01 16:14:48 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/sPB5JMnWBn
771171053431250945,0,8322,Thu Sep 01 02:21:21 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
771136648247640064,9868,3220,Thu Sep 01 00:04:38 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/8VEDZKHddR
771102124360998913,6687,1576,Wed Aug 31 21:47:27 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/K5Jo7QRCvA
771014301343748096,7375,1821,Wed Aug 31 15:58:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/OJZQ6I4gGd
770787852854652928,5324,1347,Wed Aug 31 00:58:39 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/d0QEbp78Yi
770772759874076672,5566,1559,Tue Aug 30 23:58:40 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/lqr0NdtwQo
770655142660169732,7861,1915,Tue Aug 30 16:11:18 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/qlUDuPoE3d
770414278348247044,6757,2266,Tue Aug 30 00:14:12 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/OUwWbEKOUV
770293558247038976,6694,1638,Mon Aug 29 16:14:30 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/3fEPpj0KYw
