breed,count
Labrador_retriever,104
golden_retriever,92
Chihuahua,44
Pomeranian,42
Chesapeake_Bay_retriever,41
French_bulldog,41
toy_poodle,37
cocker_spaniel,34
Siberian_husky,33
miniature_poodle,33
